off 0m        #关闭所有属性 
fhl 1m        #设置高亮度 
ful 4m        #下划线 
fshine 5m     #闪烁 
freverse 7m   #反显 
fblank 8m     #消隐 
ffcblack 30m  #文字黑色
ffcred 31m    #文字红色
ffcgreen 32m  #文字绿色
ffcyellow 33m #文字黄色
ffcblue 34m   #文字蓝色
ffcpurple 35m #文字紫色
ffccyan 36m   #文字青色
ffcgrey 37m   #文字灰色
fbcblack 40   #背景黑色
fbcred 41     #背景红色
fbcgreen 42   #背景绿色
fbcyellow 43  #背景黄色
fbcblue 44    #背景蓝色
fbcpurple 45  #背景紫色
fbccyan 46    #背景青色
fbcgrey 47    #背景灰色
cun [X]A      #光标上移n行 
cdn [X]B      #光标下移n行 
crn [X]C    #光标右移n行 
cln [X]D      #光标左移n行 
cpos [X];[Y]H #设置光标位置 
ctrll 2J      #清屏 
ctrlk K       #清除从光标到行尾的内容 
csave s       #保存光标位置 
crestore u    #恢复光标位置 
chide ?25l    #隐藏光标 
cshow ?25h    #显示光标
